1|Regency Apartment|4|Apartment|5|5|5|1
2|The Stanley|7|Apartment|7|7|7|1
3|Your Tokyo|2|Apartment|6|6|6|1
4|W Apartment|5|Apartment|8|8|10|1
5|Rosewood|1|Apartment|20|7|5|1
6|The Peninsula|8|House|7|7|7|1
7|Belmond|10|Apartment|4|4|4|1
8|Gotham|8|House|9|9|9|1
9|Quick Stop|2|House|9|2|2|1
10|Morning Wood|8|Cottage|7|7|9|1
11|SleepyCrew|1|Cottage|3|3|3|1
12|Residence Inn|3|House|3|3|3|1
13|The Enchanted Garden|4|House|3|3|3|1
14|Comfort Inn|6|House|5|1|3|1
15|Wellness|7|House|5|5|5|1
16|Always Welcome|13|House|7|2|2|1
17|Vitality|8|Cottage|6|6|9|1
18|Ace Apartment|9|Apartment|7|7|7|1
19|Fusion|21|House|10|4|4|1
20|LA Apartment|6|Apartment|10|3|1|9
21|NYC House|1|House|10|2|2|9
22|T&V|1|Apartment|6|6|1|1
23|po|6|House|9|9|2|1
24|proba|10|Cottage|3|3|1|1
