1|Tura u Japanu|2|Obilazak Tokia|engleski|20|8|3
2|Tura u Parizu|3|opis1|italijanski|30|8|3
3|Tura u Brazilu|3|opis1|italijanski|30|8|3
4|Tura Sidneja|4|opis5|srpski|45|4|3
5|Tura Cikaga|17|opis|korejski|55|8|3
6|Tura Osake|12|opiss|japanski|40|9|3
7|Tura|8|opiss|korejski|30|8|3
8|Miami Tour|19|Letnja tura|engleski|20|10|3
9|NYC Tour|1|dd|srpski|15|7|3
10|Tour in Nice|15|nice|italijanski|15|8|3
11|Tour in Sapporo|14|Nice|italijanski|10|7|3
12|Houston Tour|18|opisss|korejski|20|6|3
13|Tura jedan|11|44|italijanski|30|6|3
14|Salvador Tour|25|vg|engleski|15|9|3
15|Tura za kasnije|22|dd|srpski|15|4|3
16|Tura za kasnije2|11|f|engleski|35|7|3
17|Turaa|7|d|engleski|35|5|3
18|Tura2022|3|r|srpski|15|6|3
19|tura111|2|f|srpski|20|5|3
20|Turaa|1|Oops|srpski|25|5|3
21|Turaa|1|Oops|srpski|25|5|3
22|Turaa|1|Oops|srpski|25|5|3
23|Turaa|1|Oops|srpski|25|5|3
24|Turaa|1|Oops|srpski|25|5|3
25|Tura23|8|OPis|engleski|5|5|3
26|Tura133|2|Opis|engleski|35|6|3
27|Tura2027|22|OP|italijanski|40|4|3
28|Tura za kasnije|15|gbh|engleski|88|1|3
29|Tura za kasnije|15|gbh|engleski|88|1|3
30|Tura za kasnije|15|gbh|engleski|88|1|3
31|Tura za kasnije|15|gbh|engleski|88|1|3
32|Tura za kasnije|15|gbh|engleski|88|1|3
33|Tura za kasnije|15|gbh|engleski|88|1|3
34|Tura za kasnije|15|gbh|engleski|88|1|3
35|Miami Tour|8|dgfhj|italijanski|60|1|3
36|Tura za kasnije|15|gbh|engleski|88|1|3
37|Tura za kasnije|15|gbh|engleski|88|1|3
38|Tura za kasnije|15|gbh|engleski|88|1|3
39|Tura za kasnije|15|gbh|engleski|88|1|3
40|Tura za kasnije|15|gbh|engleski|88|1|3
41|Tura za kasnije|15|gbh|engleski|88|1|3
42|Tura614|12|oo|korejski|15|5|3
43|Tura za kasnije|15|gbh|engleski|88|1|3
44|Tura za kasnije|15|gbh|engleski|88|1|3
